AD-01;R7YZ;2020-12-23;W
AD-03;RU6YY;2005-08-20;W
AD-06;RA6YDX;2024-01-23;W
AL-01;RA9YDF;2024-01-06;W
AL-02;RT9YO;2024-02-24;W
AL-03;RU9YZ;2020-10-18;W
AL-05;UA9YK;2020-12-19;W
AL-14;UA9YAB;2005-08-20;W
AL-16;RL9Y;2024-01-16;W
AL-24;RX9YJ;2020-11-20;W
AL-33;UA9Y;2021-01-12;W
AL-39;R9YW;2024-01-06;W
AL-41;R9YBO;2021-01-03;W
AL-43;R9YDN;2024-01-19;W
AL-49;R9YC;2020-12-05;W
AL-51;UA9YAD;2005-03-20;W
AL-58;RA9YJU;2024-03-23;W
AL-73;R9YQ;2020-11-28;W
AL-78;UA9YIY;2021-02-18;W
AM-01;UA0JFG;2020-12-12;W
AM-03;RA0JBL;2013-08-25;W
AM-04;RN0JJ;2024-03-02;W
AM-09;UA0JCG;2024-08-15;W
AM-10;UA0JBY;2024-08-29;W
AM-28;R0JAC;2024-08-29;W
AO-03;RU6UR;2005-08-28;W
AO-06;UA6UD;2004-03-21;W
AO-07;RA6UAC;2024-01-05;W
AO-11;UA6LP;2005-08-31;W
AO-13;RC6U;2015-03-21;W
AO-15;RA6UAR;2024-03-09;W
AR-01;RA1OZ;2005-03-20;W
AR-05;UA1ORK;2020-11-05;W
AR-06;RA1OD;2009-08-15;W
AR-07;RK1OZM;2009-08-15;W
AR-09;RV1OO;2005-03-19;W
AR-15;RA1OHX;2023-12-01;W
AR-17;UA1OMZ;2005-08-19;W
AR-18;RK1OWZ;2005-04-15;W
AR-19;UA1ODY;2021-01-05;W
AR-23;RZ1OK;2014-03-15;W
AR-26;R1OAJ;2020-12-01;W
AR-29;UA1OOX;2006-08-19;W
BA-01;RX9WM;2013-10-10;W
BA-03;RU9WZ;2006-08-19;W
BA-04;RX9WN;2021-02-13;W
BA-06;RX9WN;2005-03-18;W
BA-07;RZ9WA;2023-12-20;W
BA-17;UA9WOU;2020-11-22;W
BA-19;RA9WU;2015-03-22;W
BA-21;RK8W;2024-01-09;W
BA-23;R9WCF;2024-01-05;W
BA-32;RM9WN;2024-02-24;W
BA-42;RM8W;2020-12-21;W
BA-55;RU4B;2024-08-10;W
BA-61;RZ9WXZ;2009-08-15;W
BA-64;R9WJ;2020-12-30;W
BA-70;RT9W;2006-08-19;W
BA-71;RZ9WXZ;2006-08-19;W
BA-74;RV9WF;2020-10-21;W
BO-02;RZ3ZZ;2002-11-02;W
BO-05;RN3ZC;2009-08-15;W
BO-06;RN3ZIC;2006-08-20;W
BO-09;RZ3ZZ;2002-11-02;W
BO-13;RV3ZK;2023-11-19;W
BO-14;RN3ZRD;2014-09-12;W
BO-19;UA3ZUX;2020-11-13;W
BO-23;RK3ZB;2024-01-26;W
BO-24;R2ZDO;2020-10-30;W
BO-27;RA5ZB;2015-01-02;W
BO-28;RK3ZZB;2005-10-14;W
BR-01;UA3YPL;2015-05-07;W
BR-02;RC2Y;2024-01-13;W
BR-03;R2YES;2020-12-24;W
BR-04;UA3YDQ;2024-08-08;W
BR-06;UA3YCN;2020-11-28;W
BR-10;RA3Y;2015-01-17;W
BR-29;UA3YSQ;2006-08-19;W
BR-35;R3YAR;2024-10-26;W
BR-36;RA3YDA;2024-01-15;W
BU-02;RA0OU;2024-03-02;W
BU-05;UA0OK;2021-03-12;W
CB-01;R9AL;2013-11-21;W
CB-02;RL9AA;2009-08-15;W
CB-05;UA9AFS;2005-10-15;W
CB-06;R9AE;2015-03-21;W
CB-07;RK9AWN;2006-03-18;W
CB-08;RY9AAH;2024-01-29;W
CB-09;RX9ATX;2024-01-07;W
CB-10;UA9AAE;2024-01-26;W
CB-13;UA9AX;2020-11-11;W
CB-19;RN9AZ;2013-09-10;W
CB-20;RA9AU;2005-08-20;W
CB-22;R8AU;2024-02-10;W
CB-25;RK9AY;2023-11-28;W
CB-27;RX9AV;2007-08-19;W
CB-29;R8ADP;2024-08-10;W
CB-30;RV9AZ;2007-08-19;W
CB-39;UA9AET;2013-09-15;W
CB-50;RK9AX;2015-03-21;W
CB-54;RG9A;2006-03-19;W
CK-02;UA0KBG;2024-03-18;W
CN-01;R6PAU;2024-06-09;W
CN-04;RD7P;2015-03-24;W
CN-11;R6PAW;2024-04-13;W
CN-13;UA6PL;2006-08-19;W
CN-24;R6PAG;2024-03-23;W
CU-01;R4YAP;2020-11-21;W
CU-03;RA4YW;2004-03-19;W
CU-04;UC4Y;2023-11-25;W
CU-13;R4ZZ;2024-01-07;W
DA-08;RA6WF;2013-09-02;W
DA-10;RV6WB;2020-11-23;W
EA-02;UA0DX;2024-03-19;W
EA-06;R0DX;2009-08-14;W
GA-02;UA9ZZ;2007-03-18;W
GA-03;UA9ZCT;2024-01-12;W
GA-06;UA9ZZ;2007-03-18;W
GA-10;UA9ZK;2014-10-09;W
HA-01;RK0W;2015-03-21;W
HA-02;R0WG;2021-01-10;W
HA-04;RA0WHE;2013-08-22;W
HA-11;RD0WA;2020-10-30;W
HK-01;RN0CD;2024-03-09;W
HK-02;R0IAA;2020-12-12;W
HK-03;RW0CR;2024-03-16;W
HK-04;R0CBS;2024-02-06;W
HK-21;RI0CB;2002-08-27;W
HK-28;UA0CA;2005-03-19;W
HM-01;R9JAA;2024-03-17;W
HM-03;RV9JE;2007-03-17;W
HM-05;RW9JG;2014-09-06;W
HM-07;RW9JG;2014-09-06;W
HM-11;RA9JR;2007-08-18;W
HM-12;R9JAC;2020-11-16;W
HM-16;UA9JLL;2007-03-17;W
HM-19;RA9J;2007-08-17;W
HM-21;R9JT;2023-11-28;W
HM-22;RK4PA;2024-01-02;W
IN-09;UA7Q;2021-02-17;W
IR-01;RG0S;2023-12-18;W
IR-04;UA0SU;2020-11-24;W
IR-05;RA0S;2020-10-18;W
IR-06;UA0SC;2004-03-19;W
IR-11;UA0SFM;2024-01-29;W
IR-14;RU0SN;2005-10-14;W
IR-15;UA0STR;2021-01-11;W
IR-17;RZ0SW;2023-12-03;W
IR-20;UA0SGY;2024-01-24;W
IR-26;RZ0SR;2007-08-18;W
IR-31;R0SAU;2023-11-16;W
IR-37;RZ0SU;2021-02-12;W
IR-43;RA0SET;2024-03-17;W
IR-45;RA0SMS;2020-11-26;W
IR-46;RA0R;2020-11-13;W
IR-54;UA0SR;2020-11-08;W
IR-55;UA0TP;2024-02-04;W
IV-01;UA3UCV;2024-01-27;W
IV-02;RA3UT;2009-08-15;W
IV-03;UA3UKD;2024-01-26;W
IV-04;RU3UR;2007-03-17;W
IV-05;R2UD;2024-01-05;W
IV-07;R2UZ;2021-02-18;W
IV-12;RA3VX;2024-08-31;W
IV-16;R3UG;2020-11-04;W
IV-17;UA3UNL;2023-11-17;W
IV-31;R3UCC;2023-11-26;W
KA-02;RA2FIA;2007-08-18;W
KA-08;RW2F;2007-08-18;W
KA-09;UB2FCL;2024-04-14;W
KA-13;RK2FWA;2006-03-18;W
KA-15;RL2F;2024-01-23;W
KA-20;UA2FT;2008-02-09;W
KA-23;RA2FU;2021-02-11;W
KB-01;UA6XT;2005-08-20;W
KB-04;UA6XY;2024-03-19;W
KB-05;RK7X;2024-01-15;W
KB-13;UA6XES;2020-10-18;W
KC-01;RA7E;2024-02-24;W
KC-04;UA6EKC;2024-01-15;W
KC-11;R7EW;2024-07-24;W
KE-01;R8UT;2024-02-24;W
KE-02;R9UR;2014-08-31;W
KE-03;RK9UM;2024-03-12;W
KE-04;RK9UE;2023-11-22;W
KE-12;RZ9UO;2015-03-21;W
KE-14;RW9UBP;2024-01-22;W
KE-16;RU9UW;2024-08-09;W
KE-17;RA9UKO;2020-11-30;W
KE-20;R8UR;2024-03-26;W
KE-22;RC9UDM;2024-01-19;W
KE-23;R9UIW;2023-12-03;W
KE-28;R9UG;2024-01-29;W
KE-29;RU9UZM;2006-08-19;W
KE-30;RU9UZM;2007-09-09;W
KE-32;RO9U;2024-08-09;W
KE-35;UA9ULT;2013-10-01;W
KE-40;RZ9UWZ;2005-10-30;W
KE-46;RZ9UF;2024-01-23;W
KE-48;RW9UR;2023-12-18;W
KE-52;UA9ULT;2020-11-28;W
KE-53;RO8U;2023-12-06;W
KG-01;R2EA;2024-10-30;W
KG-02;RA3XFR;2024-01-15;W
KG-06;RK3XWO;2007-03-18;W
KG-07;RX3XR;2002-08-05;W
KG-13;R5ACQ;2024-01-10;W
KG-16;R3XBD;2021-02-18;W
KG-18;UA3XFP;2024-02-10;W
KG-19;RC4UAE;2013-11-15;W
